codigo_abonado,tipo_solicitud,canal_ingreso,servicio_afectado,falla,diagnostico,estado,fecha_ingreso,fecha_cierre,asesor_idx,tecnico_idx,escalado
C103172,cambio_plan,call_center,,,,solucionado,2025-12-02 14:50:00,2026-01-05 16:50:00,22,3,
C103173,cambio_plan,caja,,,,solucionado,2025-12-02 15:10:00,2026-01-05 16:55:00,22,3,
DQ100012,sin_internet,whatsapp,internet,,BLOQUEO DE MODEM,solucionado,2025-12-24 09:45:00,,,0,
VG100030,sin_internet,whatsapp,internet,,,cancelado,2025-12-24 11:05:00,,36,0,
TC103936,cambio_titular,whatsapp,,,,solucionado,2025-12-29 09:10:00,2025-12-30 17:10:00,10,2,
CH100681,soporte_remoto,call_center,internet_tv,LENTITUD E INTERMITENCIA,,cancelado,2025-12-29 10:50:00,2026-01-03 07:10:00,2,7,
TC100013,sin_internet,whatsapp,internet,,FALLA DE FIBRA,enviado_tecnico,2025-12-29 11:05:00,,26,0,
DQ100007,sin_internet,caja,internet,,WIFI DESACTIVADO,enviado_tecnico,2025-12-29 11:15:00,,31,0,
SG100682,soporte_remoto,call_center,internet,,,solucionado,2025-12-29 12:05:00,2026-01-02 17:25:00,9,1,
SG103937,cambio_titular,caja,,,,solucionado,2025-12-29 15:05:00,2025-12-30 17:30:00,3,2,
TCF100679,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2025-12-29 15:45:00,2026-01-02 17:25:00,4,1,
C102127,cambio_titular,caja,,,,solucionado,2025-12-29 16:10:00,2025-12-30 17:35:00,13,2,
DQ103938,cambio_titular,caja,,,,solucionado,2025-12-29 16:20:00,2025-12-29 16:30:00,31,20,
C100014,sin_internet,whatsapp,internet,,VLAN DUPLICADA,enviado_tecnico,2025-12-29 16:30:00,,8,0,
C100015,sin_internet,call_center,internet,,FALLA DE FIBRA,enviado_tecnico,2025-12-29 17:00:00,,15,0,
SG103170,cambio_plan,whatsapp,,,,solucionado,2025-12-29 18:00:00,2026-01-05 16:30:00,9,3,
TC100685,soporte_remoto,whatsapp,tv,PROGRAMACIÓN DE TV,,solucionado,2025-12-30 08:50:00,2026-01-03 10:30:00,7,7,
TCF100000,sin_internet,call_center,internet,,BLOQUEO DE MODEM,solucionado,2025-12-30 09:20:00,,4,0,
DQ100007,sin_internet,whatsapp,internet,,MODEM/CARGADOR QUEMADOS,enviado_tecnico,2025-12-30 09:20:00,,5,0,
C100001,sin_internet,whatsapp,internet,,WIFI DESACTIVADO,solucionado,2025-12-30 09:55:00,,15,0,
SR100686,soporte_remoto,call_center,internet,LENTITUD E INTERMITENCIA,,solucionado,2025-12-30 09:55:00,,14,7,
SG100003,sin_internet,call_center,internet,,WIFI DESACTIVADO,solucionado,2025-12-30 10:00:00,,3,0,
C100016,sin_internet,call_center,internet,,FALLA DE FIBRA,enviado_tecnico,2025-12-30 10:00:00,,22,0,
DQ101269,cambio_titular,caja,,,,solucionado,2025-12-30 10:00:00,2025-12-30 17:40:00,5,2,
SG100002,sin_internet,call_center,internet,,BLOQUEO DE MODEM,solucionado,2025-12-30 10:20:00,,3,0,
DQ103939,cambio_titular,call_center,,,,solucionado,2025-12-30 13:25:00,2025-12-30 17:45:00,4,2,
C103940,cambio_titular,call_center,,,,solucionado,2025-12-30 13:25:00,2025-12-30 17:50:00,22,2,
SG103171,cambio_plan,call_center,,,,solucionado,2025-12-30 14:50:00,2026-01-05 16:35:00,9,3,
SG100683,soporte_remoto,caja,internet,LENTITUD E INTERMITENCIA,,solucionado,2025-12-30 16:40:00,2026-01-02 10:15:00,3,2,
SR100684,soporte_remoto,call_center,internet,ERROR EN INGRESO A PÁGINAS,,solucionado,2025-12-30 17:00:00,2026-01-02 17:25:00,1,1,
SG100667,soporte_remoto,whatsapp,internet_tv,LENTITUD E INTERMITENCIA,,solucionado,2025-12-30 17:00:00,2026-01-02 17:25:00,3,1,
TC100004,sin_internet,call_center,internet,,FALLA MASIVA,solucionado,2025-12-31 08:25:00,,26,0,
